Team_A,Team_A_Av(GD),Team_A_C(GF),Team_B,Team_B_Av(GD),Team_B_C(GF),Team_A_Last,Team_B_Last,Result,Prediction
Brisbane Roar FC,-0.5909090909090909,80,Perth Glory FC,-0.0909090909090909,96,2.0,1.0,1,[1]
Central Coast Mariners FC,0.1904761904761904,0,W Sydney,0.4285714285714285,0,1.0,0.0,1,[1]
Melbourne City FC,0.7272727272727273,123,Wellington Phoenix FC,0.4545454545454545,104,1.0,0.0,1,[1]
Perth Glory FC,-0.0909090909090909,96,Brisbane Roar FC,0.4285714285714285,80,1.0,2.0,-1,[-1]
Perth Glory FC,-0.0909090909090909,0,W Sydney,0.4285714285714285,0,0.0,2.0,-1,[-1]
Western Sydney Wanderers FC,0.4285714285714285,68,Perth Glory FC,0.0,56,2.0,0.0,1,[1]
Western Sydney Wanderers FC,0.4285714285714285,68,Central Coast Mariners FC,0.0,60,3.0,0.0,1,[1]
Western United FC,-0.7727272727272727,70,Adelaide United FC,-0.4347826086956521,86,1.0,3.0,-1,[-1]
Club Brugge KV,1.2954545454545454,55,DVL Zonhoven,-0.25,40,4.0,2.0,1,[1]
DVL Zonhoven,0.5833333333333334,40,Club Brugge KV,0.0,55,2.0,4.0,-1,[-1]
FCV Dender EH,0.625,31,R.F.C. Seraing,-0.4375,19,3.0,1.0,1,[1]
Francs Borains,-0.875,18,KV Oostende,0.0,25,0.0,1.0,-1,[-1]
KRC Genk,0.71875,61,Cercle Brugge KSV,0.15,35,1.0,0.0,1,[1]
KV Kortrijk,-1.6,8,Standard Liège,-0.5,32,1.0,1.0,0,[0]
KV Oostende,-0.3125,25,Francs Borains,-0.875,18,1.0,0.0,1,[1]
KVC Westerlo,-0.25,50,Club Brugge KV,1.2954545454545454,92,0.0,1.0,-1,[-1]
R.F.C. Seraing,-0.4375,19,FCV Dender EH,0.0,31,1.0,3.0,-1,[-1]
RFC Liège,-0.0625,26,RSC Anderlecht U23,0.125,27,0.0,2.0,-1,[-1]
RSC Anderlecht,1.1470588235294117,63,Standard Liège,1.4166666666666667,20,1.0,2.0,-1,[-1]
RSC Anderlecht U23,0.125,27,RFC Liège,1.4166666666666667,26,2.0,0.0,1,[1]
Standard Fémina de Liège,1.4166666666666667,3,RSC Anderlecht U23,0.0,5,2.0,1.0,1,[1]
Standard Liège,-0.5,32,KV Kortrijk,0.0,8,1.0,1.0,0,[0]
Yellow-Red KV Mechelen,-2.25,16,KAA La Gantoise,0.0,45,2.0,6.0,-1,[-1]
Accrington Stanley FC,0.1,64,Walsall FC,0.0,56,2.0,1.0,1,[1]
AFC Wimbledon,0.6451612903225806,69,Crawley Town FC,0.0,60,2.0,1.0,1,[1]
Arsenal FC,0.8666666666666667,57,Crystal Palace FC,-1.0,37,1.0,0.0,1,[1]
Brentford FC,-0.2608695652173913,0,Nott'ham Forest,-0.5454545454545454,0,1.0,1.0,0,[0]
Bristol Rovers FC,0.2068965517241379,39,Blackpool FC,0.3870967741935484,48,1.0,3.0,-1,[-1]
Bromley FC,0.6333333333333333,70,Boreham Wood FC,-0.4137931034482758,40,1.0,1.0,0,[0]
Cambridge United FC,-0.3,42,Exeter City FC,0.0,26,2.0,0.0,1,[1]
Charlton Athletic FC,0.1034482758620689,45,Burton Albion FC,-0.6,48,1.0,1.0,0,[0]
Cheltenham Town FC,-0.7241379310344828,30,Carlisle United FC,-0.7142857142857143,33,1.0,0.0,1,[1]
Chesterfield FC,1.1333333333333333,59,Barnet FC,0.5625,56,4.0,2.0,1,[1]
Coventry City FC,0.4642857142857143,0,Sheffield Weds,-0.5172413793103449,0,2.0,0.0,1,[1]
Crawley Town FC,-0.1034482758620689,60,AFC Wimbledon,0.6451612903225806,69,1.0,2.0,-1,[-1]
Crewe Alexandra FC,0.2903225806451613,48,Barrow AFC,0.4666666666666667,46,1.0,3.0,-1,[-1]
Crystal Palace FC,-0.3478260869565217,11,Arsenal WFC,0.8666666666666667,27,0.0,1.0,-1,[-1]
Dagenham & Redbridge FC,-0.1785714285714285,42,Solihull Moors FC,0.0,54,1.0,2.0,-1,[-1]
Doncaster Rovers FC,-0.46875,58,Bradford City AFC,-0.1666666666666666,63,1.0,3.0,-1,[-1]
Dorking Wanderers FC,-0.6296296296296297,33,Gateshead FC,0.0,60,0.0,6.0,-1,[-1]
Ebbsfleet United FC,-0.6333333333333333,0,Hartlepool Utd,0.0,0,2.0,2.0,0,[0]
Exeter City FC,-0.6666666666666666,0,Cambridge Utd,-0.3,0,0.0,2.0,-1,[-1]
FC Halifax Town,0.0714285714285714,0,Maidenhead Utd,0.0,0,0.0,1.0,-1,[-1]
Forest Green Rovers FC,-0.6451612903225806,33,Gillingham FC,0.0,44,0.0,0.0,0,[0]
Gateshead FC,0.7037037037037037,0,Dorking Wand.,-0.6296296296296297,0,6.0,0.0,1,[1]
Gillingham FC,-0.2580645161290322,0,FG Rovers,-0.6451612903225806,0,0.0,0.0,0,[0]
Harrogate Town FC,-0.3333333333333333,46,Grimsby Town FC,-0.2580645161290322,40,2.0,1.0,1,[1]
Hartlepool United FC,-0.4285714285714285,0,Ebbsfleet Utd,0.0,0,2.0,2.0,0,[0]
Huddersfield Town AFC,-0.8571428571428571,41,Blackburn Rovers FC,0.1290322580645161,63,3.0,0.0,1,[1]
Kidderminster Harriers FC,-0.5333333333333333,42,Aldershot Town FC,0.064516129032258,52,0.0,1.0,-1,[-1]
Leyton Orient FC,-0.2413793103448276,31,Bolton Wanderers FC,0.9655172413793104,54,2.0,3.0,-1,[-1]
Lincoln City FC,0.0,36,Derby County FC,0.6785714285714286,50,1.0,3.0,-1,[-1]
Maidenhead United FC,-0.2,27,FC Halifax Town,0.0714285714285714,49,1.0,0.0,1,[1]
Middlesbrough FC,0.21875,0,Rotherham Utd,-1.103448275862069,0,0.0,1.0,-1,[-1]
Millwall FC,-0.2857142857142857,0,QPR,-0.6428571428571429,0,2.0,0.0,1,[1]
Milton Keynes Dons FC,0.1785714285714285,60,Morecambe FC,0.0,52,3.0,1.0,1,[1]
Morecambe FC,-0.1034482758620689,0,MK Dons,0.1785714285714285,0,1.0,3.0,-1,[-1]
Nottingham Forest FC,-0.5454545454545454,30,Brentford FC,0.0,41,1.0,1.0,0,[0]
Oldham Athletic AFC,0.1379310344827586,82,Eastleigh FC,0.1,67,1.0,1.0,0,[0]
Oxford United FC,0.3,42,Northampton Town FC,-0.2592592592592592,24,1.0,2.0,-1,[-1]
Peterborough United FC,0.65625,69,Shrewsbury Town FC,0.0,26,2.0,1.0,1,[1]
Plymouth Argyle FC,0.0,68,Cardiff City FC,-0.1333333333333333,63,2.0,2.0,0,[0]
Portsmouth FC,0.7,69,Fleetwood Town FC,-0.9642857142857144,20,1.0,1.0,0,[0]
Queens Park Rangers FC,-0.6428571428571429,41,Millwall FC,0.0,47,0.0,2.0,-1,[-1]
Rotherham United FC,-1.103448275862069,27,Middlesbrough FC,0.0,64,1.0,0.0,1,[1]
Sheffield Wednesday FC,-0.5172413793103449,38,Coventry City FC,0.0,62,0.0,2.0,-1,[-1]
Shrewsbury Town FC,-0.6129032258064516,0,P'borough Utd,0.65625,0,1.0,2.0,-1,[-1]
Solihull Moors FC,0.1724137931034483,0,Dag & Red,-0.1785714285714285,0,2.0,1.0,1,[1]
Southend United FC,0.4814814814814814,56,Altrincham FC,0.4074074074074074,42,0.0,2.0,-1,[-1]
Stevenage FC,0.3636363636363636,55,Barnsley FC,0.7777777777777778,67,1.0,2.0,-1,[-1]
Stockport County FC,1.0,82,Notts County FC,0.2,57,2.0,1.0,1,[1]
Stoke City FC,-0.1666666666666666,54,Birmingham City FC,-0.3793103448275862,37,3.0,1.0,1,[1]
Sutton United FC,-0.6875,28,Mansfield Town FC,0.7741935483870968,87,0.0,2.0,-1,[-1]
Swansea City AFC,0.0,33,Southampton FC,0.6071428571428571,38,0.0,5.0,-1,[-1]
Tranmere Rovers FC,-0.0333333333333333,62,Swindon Town FC,-0.2068965517241379,58,2.0,1.0,1,[1]
Walsall FC,0.064516129032258,0,Acc'ton Stanley,0.1,0,1.0,2.0,-1,[-1]
Watford FC,0.25,46,Bristol City FC,0.1724137931034483,46,1.0,4.0,-1,[-1]
Wealdstone FC,-0.1111111111111111,41,Rochdale AFC,0.2068965517241379,49,3.0,2.0,1,[1]
West Bromwich Albion FC,0.5,50,Norwich City FC,0.0333333333333333,53,1.0,0.0,1,[1]
Wigan Athletic FC,0.2068965517241379,66,Reading FC,-0.1,45,0.0,2.0,-1,[-1]
Woking FC,-0.2666666666666666,69,Oxford City FC,-0.5,52,2.0,3.0,-1,[-1]
Wrexham FC,0.65625,67,Newport County AFC,0.0,42,2.0,0.0,1,[1]
Wycombe Wanderers FC,-0.1666666666666666,50,Port Vale FC,-0.2285714285714285,46,1.0,1.0,0,[0]
York City FC,-0.21875,52,AFC Fylde,-0.3928571428571428,47,2.0,0.0,1,[1]
En Avant de Guingamp,-0.15625,18,Stade de Reims,0.25,46,0.0,0.0,0,[0]
FC Fleury 91 Cœur d'Essonne,-0.2727272727272727,22,AS Saint-Étienne,-0.3125,11,2.0,1.0,1,[1]
FC Girondins de Bordeaux,-0.5151515151515151,0,Paris S-G,1.1333333333333333,0,0.0,3.0,-1,[-1]
Lille OSC,0.2162162162162162,36,Dijon FCO,-0.7692307692307693,27,3.0,3.0,0,[0]
Paris Saint-Germain Féminines,1.1333333333333333,16,FC Girondins de Bordeaux,0.0,3,3.0,0.0,1,[1]
Stade de Reims,0.25,46,En Avant de Guingamp,0.0,18,0.0,0.0,0,[0]
1. FC Kaiserslautern,0.0,0,St. Pauli,0.8636363636363636,0,1.0,2.0,-1,[-1]
1. FC Köln,-0.9444444444444444,15,Borussia Dortmund,0.48,31,0.0,1.0,-1,[-1]
1. FC Saarbrücken,0.6086956521739131,57,FC Viktoria Köln,-0.0909090909090909,35,1.0,2.0,-1,[-1]
Bayer 04 Leverkusen,2.081081081081081,65,RB Leipzig,0.4864864864864865,42,3.0,2.0,1,[1]
Borussia Dortmund,0.48,10,FC Viktoria Köln,-0.9444444444444444,8,1.0,0.0,1,[1]
Eintracht Frankfurt,0.9782608695652174,78,SV Darmstadt 98,0.0,31,1.0,0.0,1,[1]
FC Hansa Rostock,-0.631578947368421,24,1. FC Nürnberg,-0.7741935483870968,25,2.0,3.0,-1,[-1]
FC Ingolstadt,0.5714285714285714,41,Hallescher FC,0.0,26,4.0,0.0,1,[1]
FC Schalke 04,-0.1578947368421052,33,Hamburger SV,0.7391304347826086,43,3.0,5.0,-1,[-1]
FC St Pauli,0.8636363636363636,58,1. FC Kaiserslautern,0.0,36,2.0,1.0,1,[1]
FC Viktoria Köln,-0.0909090909090909,35,1. FC Saarbrücken,0.48,57,2.0,1.0,1,[1]
Hallescher FC,-0.65,0,Ingolstadt 04,0.5714285714285714,0,0.0,4.0,-1,[-1]
Hamburger SV,0.7391304347826086,43,FC Schalke 04,0.0,33,5.0,3.0,1,[1]
Hannover 96,0.3888888888888889,22,SV Elversberg,0.0,12,2.0,2.0,0,[0]
MSV Duisburg,-0.9375,0,1860 Munich,0.0,0,0.0,3.0,-1,[-1]
RB Leipzig,0.4864864864864865,42,Bayer 04 Leverkusen,0.0,65,2.0,3.0,-1,[-1]
SC Verl,0.3,0,Jahn R'burg,0.6666666666666666,0,1.0,2.0,-1,[-1]
SSV Jahn Regensburg,0.6666666666666666,37,SC Verl,0.0,24,2.0,1.0,1,[1]
SV Darmstadt 98,-1.411764705882353,0,Eint Frankfurt,0.9782608695652174,0,0.0,1.0,-1,[-1]
SV Elversberg,-0.2222222222222222,12,Hannover 96,0.3888888888888889,22,2.0,2.0,0,[0]
SV Sandhausen,-0.0454545454545454,26,Dynamo Dresden,0.8,43,1.0,0.0,1,[1]
TSG 1899 Hoffenheim,0.2222222222222222,50,SC Freiburg,-0.1142857142857142,36,1.0,2.0,-1,[-1]
TSV 1860 München,-0.2631578947368421,32,MSV Duisburg,-0.9375,29,3.0,0.0,1,[1]
VfB Lübeck,-0.8095238095238095,24,SV Waldhof Mannheim,-0.55,20,2.0,2.0,0,[0]
VfL Bochum,-0.8823529411764706,14,VfB Stuttgart,1.3157894736842106,31,0.0,5.0,-1,[-1]
VfL Wolfsburg,0.6363636363636364,65,1. FC Heidenheim,-0.0555555555555555,49,2.0,0.0,1,[1]
AO Kifisia,-1.2352941176470589,22,Aris Thessaloniki FC,0.0,56,1.0,1.0,0,[0]
Aris Thessaloniki FC,0.238095238095238,56,AO Kifisia,-1.2352941176470589,22,1.0,1.0,0,[0]
Atromitos FC,-0.2941176470588235,39,Asteras Tripoli FC,-0.3529411764705882,35,0.0,0.0,0,[0]
OFI Crete FC,-0.7647058823529411,15,AEK Athens FC,0.4074074074074074,59,2.0,0.0,1,[1]
Olympiacos FC,0.8518518518518519,56,PAS Giannina,-0.6470588235294118,25,3.0,0.0,1,[1]
Panserraikos FC,-0.7647058823529411,0,Volos NFC,-0.9411764705882352,0,0.0,1.0,-1,[-1]
PAOK FC,1.6551724137931034,29,Panathinaikos FC,1.0344827586206895,31,2.0,2.0,0,[0]
PAS Giannina,-0.6470588235294118,25,Olympiacos FC,0.0,56,0.0,3.0,-1,[-1]
PAS Lamia 1964,-0.5294117647058824,27,Panetolikos FC,-0.7058823529411765,26,1.0,0.0,1,[1]
Volos N.F.C.,-0.9411764705882352,26,Panserraikos FC,0.0,35,1.0,0.0,1,[1]
AC Pisa 1909,-0.2,28,Calcio Lecco 1912,-0.4736842105263157,17,1.0,2.0,-1,[-1]
AS Roma,1.3255813953488371,76,Internazionale,-0.4761904761904761,70,0.0,1.0,-1,[-1]
Calcio Lecco 1912,-0.4736842105263157,17,AC Pisa 1909,0.0,28,2.0,1.0,1,[1]
Como 1907,0.15,30,AC Reggiana 1919,0.0454545454545454,25,2.0,2.0,0,[0]
FC Südtirol,-0.1,25,Brescia Calcio,0.0,29,1.0,1.0,0,[0]
FeralpiSalò,-0.8571428571428571,22,US Catanzaro 1929,0.0,39,0.0,3.0,-1,[-1]
Hellas Verona FC,-0.4761904761904761,26,AS Roma,1.3255813953488371,58,2.0,1.0,1,[1]
Internazionale,0.918918918918919,70,AS Roma,1.3255813953488371,76,1.0,0.0,1,[1]
SSD Napoli Femminile,-1.6363636363636365,11,UC Sampdoria,-0.53125,14,0.0,2.0,-1,[-1]
Ternana Calcio,-0.25,23,AS Cittadella,0.238095238095238,33,2.0,2.0,0,[0]
UC Sampdoria,-0.53125,14,SSD Napoli Femminile,0.0,11,2.0,0.0,1,[1]
Udinese Calcio,-0.4285714285714285,31,AC Milan,0.3513513513513513,78,1.0,0.0,1,[1]
US Catanzaro 1929,0.0952380952380952,39,FeralpiSalò,-0.8571428571428571,22,3.0,0.0,1,[1]
US Città di Palermo,0.4,31,Modena FC,-0.2,20,2.0,0.0,1,[1]
US Cremonese,0.6363636363636364,37,Spezia Calcio,-0.5238095238095238,21,3.0,0.0,1,[1]
Venezia FC,0.55,38,Cosenza Calcio 1914,-0.25,29,1.0,1.0,0,[0]
Club Tijuana,-0.1764705882352941,18,Club Atlas,-0.5882352941176471,15,2.0,0.0,1,[1]
Mazatlán FC,-0.1666666666666666,30,Deportivo Toluca FC,0.2352941176470588,39,1.0,0.0,1,[1]
Querétaro FC,-0.6470588235294118,28,Club América,1.3478260869565215,79,1.0,2.0,-1,[-1]
ADO Den Haag Vrouwen,0.0909090909090909,39,FC Utrecht,-0.7037037037037037,18,0.0,0.0,0,[0]
Almere City FC,-1.0,26,Fortuna Sittard,0.2962962962962963,51,1.0,2.0,-1,[-1]
AZ Alkmaar,0.7307692307692307,22,PEC Zwolle,0.0,13,3.0,0.0,1,[1]
FC Twente,0.7272727272727273,29,NEC Nijmegen,0.1875,23,3.0,3.0,0,[0]
FC Utrecht,-0.7037037037037037,6,ADO Den Haag,0.75,13,0.0,0.0,0,[0]
FC Volendam,-1.375,22,Heracles Almelo,-1.1875,19,2.0,2.0,0,[0]
Fortuna Sittard,0.2962962962962963,38,Feyenoord Vrouwen,-0.8181818181818182,15,0.0,0.0,0,[0]
Fortuna Sittard,0.2962962962962963,51,Almere City FC,0.0,26,2.0,1.0,1,[1]
Heracles Almelo,-1.1875,19,FC Volendam,0.0,22,2.0,2.0,0,[0]
NEC Nijmegen,0.1875,23,FC Twente,0.0,29,3.0,3.0,0,[0]
PEC Zwolle,-0.3125,13,AZ Alkmaar,0.7307692307692307,22,0.0,3.0,-1,[-1]
SBV Excelsior,-0.6296296296296297,12,AFC Ajax Vrouwen,1.5294117647058822,40,1.0,3.0,-1,[-1]
Wellington Phoenix FC,0.4545454545454545,0,Melb City,0.0,0,0.0,1.0,-1,[-1]
GD Estoril Praia,0.0625,32,FC Arouca,-0.1111111111111111,28,3.0,4.0,-1,[-1]
Moreirense FC,0.25,20,FC Porto,0.8181818181818182,19,1.0,2.0,-1,[-1]
SC Farense,0.0625,25,Casa Pia AC,-0.1875,12,0.0,3.0,-1,[-1]
FC Petrolul Ploiești,0.0,44,FC Dinamo București,-0.8571428571428571,25,1.0,1.0,0,[0]
FC Sibiu,0.1904761904761904,40,FC Universitatea Cluj,0.0,30,2.0,2.0,0,[0]
FC Universitatea Cluj,-0.1428571428571428,0,Hermannstadt,0.1904761904761904,0,2.0,2.0,0,[0]
Queen's Park FC,-0.7368421052631579,39,Dunfermline Athletic FC,0.0,59,2.0,1.0,1,[1]
Albacete Balompié,-0.3181818181818182,33,AD Alcorcón,-0.5652173913043478,26,2.0,1.0,1,[1]
Athletic Club,1.0909090909090908,36,Valencia CF,0.0,20,2.0,2.0,0,[0]
Atlético Madrid,1.1153846153846154,76,Granada CF,0.0,37,3.0,1.0,1,[1]
CD Tenerife,0.2083333333333333,0,Sporting Gijón,0.5217391304347826,0,1.0,2.0,-1,[-1]
Celta de Vigo,-0.0909090909090909,24,Real Sociedad,0.6785714285714286,41,1.0,1.0,0,[0]
Granada CF,-1.1515151515151516,37,Atlético Madrid,1.1153846153846154,76,1.0,3.0,-1,[-1]
Racing de Ferrol,0.3333333333333333,24,Real Oviedo,0.0,30,1.0,1.0,0,[0]
Rayo Vallecano,0.1818181818181818,16,UD Las Palmas,0.0,23,1.0,0.0,1,[1]
RCD Espanyol,0.5416666666666666,0,Villarreal B,-0.3333333333333333,0,1.0,3.0,-1,[-1]
Real Oviedo,0.3043478260869565,0,Racing Ferrol,0.3333333333333333,0,1.0,1.0,0,[0]
Real Sociedad,0.6785714285714286,0,Celta Vigo,0.0,0,1.0,1.0,0,[0]
Real Sociedad Femenino,-0.3846153846153846,0,Levante Planas,0.0,0,1.0,1.0,0,[0]
SD Amorebieta,-0.6086956521739131,31,CD Eldense,-0.217391304347826,28,0.0,2.0,-1,[-1]
Sporting de Gijón,0.5217391304347826,25,CD Tenerife,0.0,12,2.0,1.0,1,[1]
UD Las Palmas,0.0454545454545454,23,Rayo Vallecano,0.1818181818181818,16,0.0,1.0,-1,[-1]
Valencia CF,0.1363636363636363,20,Athletic Club,1.0909090909090908,36,2.0,2.0,0,[0]
Villarreal CF B,-0.3333333333333333,26,RCD Espanyol,0.0769230769230769,43,3.0,1.0,1,[1]
FC St. Gallen,0.6666666666666666,62,FC Lausanne-Sport,-0.2777777777777778,35,2.0,1.0,1,[1]
Grasshopper Club Zürich,0.1379310344827586,62,BSC Young Boys,0.7692307692307693,114,0.0,1.0,-1,[-1]
Servette FC,-0.0714285714285714,80,FC Winterthur,-0.3888888888888889,57,2.0,2.0,0,[0]
